,year,month,unc_h,unc_flu,unc_ta,eps
367,2017.0,1.0,8.22265625,-3.4912109375,0.0009765625,0.956
368,2017.0,1.0,8.80859375,-2.7978515625,0.8330078125,0.946
369,2017.0,1.0,-1.77734375,-2.7978515625,0.8330078125,0.95
370,2017.0,1.0,8.80859375,-0.9912109375,0.8330078125,0.95
371,2017.0,1.0,8.80859375,-2.7978515625,0.5009765625,0.95
372,2017.0,1.0,8.80859375,-0.9912109375,0.5009765625,0.954
373,2017.0,1.0,-1.77734375,-2.7978515625,0.5009765625,0.954
374,2017.0,1.0,-1.77734375,-0.9912109375,0.8330078125,0.954
375,2017.0,1.0,-1.77734375,-0.9912109375,0.5009765625,0.958
376,2017.0,1.0,-11.19140625,2.2021484375,-0.1669921875,0.978
377,2017.0,1.0,18.22265625,2.2021484375,-0.1669921875,0.966
378,2017.0,1.0,-11.19140625,4.0087890625,-0.1669921875,0.982
379,2017.0,1.0,-11.19140625,2.2021484375,-0.4990234375,0.982
380,2017.0,1.0,-11.19140625,4.0087890625,-0.4990234375,0.986
381,2017.0,1.0,18.22265625,2.2021484375,-0.4990234375,0.97
382,2017.0,1.0,18.22265625,4.0087890625,-0.1669921875,0.97
383,2017.0,1.0,18.22265625,4.0087890625,-0.4990234375,0.974
384,2017.0,1.0,-13.69140625,-2.1728515625,0.9580078125,0.954
385,2017.0,1.0,5.72265625,-2.1728515625,0.9580078125,0.948
386,2017.0,1.0,-13.69140625,-1.6162109375,0.9580078125,0.956
387,2017.0,1.0,-13.69140625,-2.1728515625,-0.1240234375,0.968
